WikiData QID	parent	ML_ID	label
Q10687425		ML_RHETORIC_SYNECDOCHE	Synecdoche
		ML_RHETORIC_TAPINOSIS	tapinosis
Q37477789		ML_RHETORIC_TASTE	Taste
Q209555		ML_RHETORIC_TAUTOLOGY	tautology
Q82650		ML_RHETORIC_TAXI	taxi
Q1054		ML_RHETORIC_TECHNETIUM	technetium
Q17085054		ML_RHETORIC_TERMINISTIC-SCREENS	Terministic screens
Q1266946		ML_RHETORIC_THESIS	thesis
		ML_RHETORIC_THESMOS	thesmos
Q1203324		ML_RHETORIC_TONE	Tone
		ML_RHETORIC_TOPICAL-SYSTEMS	topical systems
Q19230664		ML_RHETORIC_TOPOGRAPHIA-BOHEMIAE,-MORAVIAE-ET-SILESIAE	Topographia Bohemiae, Moraviae et Silesiae
Q12522118		ML_RHETORIC_TOPOS	Topos
Q17087170		ML_RHETORIC_TOPOTHESIA	Topothesia
Q97168137		ML_RHETORIC_TOULMIN-MODEL-OF-ARGUMENT	Toulmin model of argument
Q3537603		ML_RHETORIC_TRANSGRESSION	transgression
		ML_RHETORIC_TRANSLATIVE-ISSUE	translative issue
Q7590		ML_RHETORIC_TRANSPORT	transport
Q205186		ML_RHETORIC_TRIVIUM	trivium
Q1554097		ML_RHETORIC_TROPE	trope
		ML_RHETORIC_UNIVERSAL-AUDIENCE	universal audience
Q258403		ML_RHETORIC_UTTERANCE	utterance
Q545349		ML_RHETORIC_VALIDITY	validity
		ML_RHETORIC_VALIDITY-CLAIM	validity claim
Q7920926		ML_RHETORIC_VERBA	Verba
Q3331189		ML_RHETORIC_VERSION,-EDITION-OR-TRANSLATION	version, edition or translation
		ML_RHETORIC_VIR-BONUS-BENI-DICENDI	vir bonus beni dicendi
Q2528506		ML_RHETORIC_VITA-ACTIVA	vita activa
Q1631685		ML_RHETORIC_WARRANT	Warrant
Q5810871		ML_RHETORIC_WAYS-AND-MEANS	Ways and Means
Q4167836		ML_RHETORIC_WIKIMEDIA-CATEGORY	Wikimedia category
Q196984		ML_RHETORIC_ZEUGMA	zeugma
Q87523478		ML_RHETORIC_⁝	tricolon
Q3968		ML_FIELD_ALGEBRA	algebra
		ML_FIELD_AMBACHTSTERM-TAAL	ambachtsterm, -taal
Q514		ML_FIELD_ANATOMY	anatomy
Q12271		ML_FIELD_ARCHITECTURE	architecture
Q11205		ML_FIELD_ARITHMETIC	arithmetic
Q333		ML_FIELD_ASTRONOMY	astronomy
Q1845		ML_FIELD_BIBLE	Bible
Q420		ML_FIELD_BIOLOGY	biology
Q441		ML_FIELD_BOTANY	botany
		ML_FIELD_CHEMIE-SCHEIKUNDE	chemie, scheikunde
Q8134		ML_FIELD_ECONOMICS	economics
Q11023		ML_FIELD_ENGINEERING	engineering
Q38112		ML_FIELD_FORESTRY	forestry
Q1071		ML_FIELD_GEOGRAPHY	geography
Q1069		ML_FIELD_GEOLOGY	geology
Q8091		ML_FIELD_GRAMMAR	grammar
Q2135465		ML_FIELD_LEGAL-TERM-OR-LEGAL-CONCEPT	legal term or legal concept
Q395		ML_FIELD_MATHEMATICS	mathematics
Q9134		ML_FIELD_MYTHOLOGY	mythology
Q5891		ML_FIELD_PHILOSOPHY	philosophy
Q11633		ML_FIELD_PHOTOGRAPHY	photography
Q413		ML_FIELD_PHYSICS	physics
Q521		ML_FIELD_PHYSIOLOGY	physiology
Q7163		ML_FIELD_POLITICS	politics
Q9418		ML_FIELD_PSYCHOLOGY	psychology
Q9174		ML_FIELD_RELIGION	religion
		ML_FIELD_SCHOOLTAAL	schooltaal
		ML_FIELD_STAATSKUNDE	staatskunde
		ML_FIELD_STUDENTENTAAL	studententaal
Q40821		ML_FIELD_SURGERY	surgery
Q131420360		ML_FIELD_TENTOONSTELLING-SPORT-EN-SPEL-IN-DE-OUDHEID	Tentoonstelling Sport en spel in de Oudheid
		ML_FIELD_THEATER-TONEEL-DRAMATURGIE	theater, toneel, dramaturgie
Q34178		ML_FIELD_THEOLOGY	theology
Q159964		ML_FIELD_TYPOGRAPHY	typography
		ML_FIELD_VOLKSTAAL-POPULAIR	volkstaal, populair
		ML_DISCOURSE_ALLITERATION	alliteration
		ML_DISCOURSE_ANAPHORICITY	anaphoricity
	ML_ETYMOLOGY_PROCESS	ML_ETYMOLOGY_ABLAUT	ablaut
	ML_ETYMOLOGY_PROCESS	ML_ETYMOLOGY_ANALOGY	analogy
	ML_ETYMOLOGY_PROCESS	ML_ETYMOLOGY_ANGLICISATION	anglicisation
	ML_ETYMOLOGY_PROCESS	ML_ETYMOLOGY_BORROWING-ADAPTED	adapted borrowing
		ML_ETYMOLOGY_PROCESS	Etymology Process
		ML_PHONOLOGY_FONETIEK	fonetiek
		ML_PHONOLOGY_SEGMENT	Phonology Segment
	ML_PHONOLOGY_SEGMENT	ML_PHONOLOGY_SEGMENT-AFFRICATE	affricate
		ML_ORTHOGRAPHY_DIACRITIC-ACUTE	acute accent
		ML_ORTHOGRAPHY_LETTERLIJK	letterlijk
		ML_GEO_DUITSLAND-DUITS	Duitsland, Duits
		ML_GEO_FRANS-FRANKRIJK	Frans, Frankrijk
		ML_GEO_INDONESI-INDONESISCH	Indonesië, Indonesisch
		ML_GEO_ITALIAANS-ITALI	Italiaans, Italië
		ML_GEO_NEDERLAND-S	Nederland(s)
		ML_GEO_RIVER	rivier
		ML_GEO_ROME-IN-S	Rome(in)s
		ML_GEO_SPAANS-SPANJE	Spaans, Spanje
		ML_GEO_WEST-EN-WESTELIJK	west(en), westelijk
		ML_GEO_ZUID-EN-ZUIDELIJK	zuid(en), zuidelijk
		ML_GEO_ZWITSERLAND-ZWITSERS	Zwitserland, Zwitsers
		ML_LANGUAGE_HEBREEUWS	Hebreeuws
		ML_LANGUAGE_LA	Latijn(s)
		ML_LANGUAGE_el	Nieuw-Grieks
		ML_LANGUAGE_en	Engeland, Engels
		ML_LANGUAGE_grc	Oud-Grieks
		ML_LANGUAGE_pt-PT	Portugees, Portugal
		ML_LANGUAGE_ru	Russisch, Rusland
		ML_EDITORIAL_NAMELIJK	namelijk
		ML_EDITORIAL_VERGELIJK	vergelijk
Q1048501		ML_EDITORIAL_c 	confer
Q845653		ML_EDITORIAL_etc	etcetera
Q101244	ML_LEX-STRUCT_ABBREVIATION	ML_CUSTOM_ACRO	acronym
Q1317831		ML_CUSTOM_ACT	active (voice)
Q3734650	ML_CUSTOM_ADV	ML_CUSTOM_ADV-GR	adverb phrase
	ML_POS_PUNCT	ML_CUSTOM_CL-PUNCT	close punctuation mark
Q245423		ML_CUSTOM_COMPOUND	compound
Q474628	ML_CUSTOM_INFLEC	ML_CUSTOM_CONJUG	conjugation
Q205892		ML_CUSTOM_DATUM	date
Q82990	ML_RHETORIC_SYMBOL	ML_CUSTOM_DIG	digit
Q2704791		ML_CUSTOM_ENUM	enumeration
	ML_POS_PTCL	ML_CUSTOM_FUT-PTCL	future particle
Q1163894		ML_CUSTOM_GERMANISM	Germanism
		ML_CUSTOM_IEMAND-S	iemand(s)
Q12547192		ML_CUSTOM_IMPERF	imperfective tense
Q2517088		ML_CUSTOM_IMPERS	impersonal passive voice
Q207857		ML_CUSTOM_INFLEC	(grammatical) inflection
Q261918	ML_LEX-STRUCT_ABBREVIATION	ML_CUSTOM_INIT	init
Q1306636	ML_POS_DET	ML_CUSTOM_INTERR	question word
Q43249		ML_CUSTOM_MORPH	morpheme
Q2825406	ML_CUSTOM_ADV	ML_CUSTOM_MULT-ADV	multiplicative adverb
	ML_LEX-STRUCT_ABBREVIATION	ML_CUSTOM_N-ABBR	not-breaking abbreviation
	ML_POS_PTCL	ML_CUSTOM_NEG-PTCL	negative particle
	ML_POS_PUNCT	ML_CUSTOM_OP-PUNCT	open punctuation mark
Q1194697		ML_CUSTOM_PASS	passive (voice)
Q625420		ML_CUSTOM_PERFECT	perfective tense
Q161873	ML_POS_ADP	ML_CUSTOM_POSTP	postpostion
Q103808		ML_CUSTOM_PREST	loanword
Q956030	ML_POS_PRONOUN	ML_CUSTOM_PRON-IND	indefinite pronoun
Q11003	ML_POS_PRONOUN	ML_CUSTOM_PRON-INT	interrogative pronoun
Q953129	ML_POS_PRONOUN	ML_CUSTOM_PRON-REFL	reflexive pronoun
Q111732457		ML_CUSTOM_PROTESTANT-SOCIAL-CENTRE	Protestant Social Centre
		ML_CUSTOM_SIMP	simple
		ML_CUSTOM_SPREEK-UIT-LEES	spreek uit, lees
	ML_POS_PTCL	ML_CUSTOM_SUB-PTCL	subjunctive particle
Q177691		ML_CUSTOM_T	(grammatical) tense
Q7702742	ML_POS_PUNCT	ML_CUSTOM_TERM-PUNCT	terminal punctuation mark
Q134550		ML_CUSTOM_TRANSLIT	transliteration
Q968559		ML_CUSTOM_UNIVERSITY-OF-NORTH-DAKOTA	University of North Dakota
Q1778442	ML_POS_VERB	ML_CUSTOM_V-GR	verb phrase
